id,title,manufacturer_shown,true_manufacturer,is_mislabeled,rule_pred_mislabeled,llm_pred_mislabeled,raw_response,category
b000ap0h94,kids power fun for little ones,topics entertainment,topics entertainment,0,1,0,CORRECT,llm_right_rule_wrong
b000mg2kpk,lightroom 1 mlp retail ue 1u,adobe,adobe,0,1,0,CORRECT,llm_right_rule_wrong
b000gkli0a,hoyle card games 2007,encore software,encore software,0,1,0,CORRECT,llm_right_rule_wrong
b000hpjgw6,pc hoyle jewels: swap & drop it,encore software,encore software,0,1,0,CORRECT,llm_right_rule_wrong
b00008nruc,instant home cooking (jewel case),topics entertainment,topics entertainment,0,1,0,CORRECT,llm_right_rule_wrong
b00070j14y,super solvers - spellbound! ! - school edition for mac,learning company,learning company,0,1,0,CORRECT,llm_right_rule_wrong
b000fem8ew,learn2 training for microsoft excel,topics entertainment - software (consignment),topics entertainment - software (consignment),0,1,0,CORRECT,llm_right_rule_wrong
b0009hmx36,procurve vpn client software unlimited client licenses,hewlett packard,hewlett packard,0,1,0,CORRECT,llm_right_rule_wrong
b00009vrfk,math missions: the amazing arcade adventure grades 3-5,scholastic,scholastic,0,1,0,CORRECT,llm_right_rule_wrong
b000hvtk9e,1pk internet sec ste 2007 oem,ca - oem,ca - oem,0,1,0,CORRECT,llm_right_rule_wrong
b00023azve,family tree maker 11.2 collector's edition,encore,encore,0,1,0,CORRECT,llm_right_rule_wrong
b000j54pac,photo explosion deluxe 3.0,nova development,nova development,0,1,0,CORRECT,llm_right_rule_wrong
b00019tb00,final cut express 2.0 upgrade,apple computer,apple computer,0,1,0,CORRECT,llm_right_rule_wrong
b0000ycfdq,dinosaurs,topics entertainment,topics entertainment,0,1,0,CORRECT,llm_right_rule_wrong
b000gaoxgg,upgrade terminal emulation software 2006 with media 1u,esker,esker,0,1,0,CORRECT,llm_right_rule_wrong
b000axs7vg,superstart! science arcade,selectsoft publishing,selectsoft publishing,0,1,0,CORRECT,llm_right_rule_wrong
b000o3ek2m,elementary advantage 2008,encore software,encore software,0,1,0,CORRECT,llm_right_rule_wrong
b000ju9ndq,diskeepeer 2007 admin upgrade sngl lic pack,diskeeper corporation,diskeeper corporation,0,1,0,CORRECT,llm_right_rule_wrong
b000g1gaac,big oil: build an oil empire,tri synergy,tri synergy,0,1,0,CORRECT,llm_right_rule_wrong
b0002z8a1o,dance 6,digital leisure inc.,digital leisure inc.,0,1,0,CORRECT,llm_right_rule_wrong
b000btac30,enteractive fps creator ( windows ),enteractive inc.,enteractive inc.,0,1,0,CORRECT,llm_right_rule_wrong
b000b676fa,riding academy: jump & ride,viva media,viva media,0,1,0,CORRECT,llm_right_rule_wrong
b000fqvxge,scansoft paperport professional 11 - 5 user license,nuance communications inc.,nuance communications inc.,0,1,0,CORRECT,llm_right_rule_wrong
b000bnjmnc,professor fuji's sudoku (jewel case),encore software,encore software,0,1,0,CORRECT,llm_right_rule_wrong
b000jywfq4,softgrid cal for ts 4.1 english mlp 20 user cal,microsoft,microsoft,0,1,0,CORRECT,llm_right_rule_wrong
b000q1pyv8,instant play guitar deluxe v2.,topics entertainment,topics entertainment,0,1,0,CORRECT,llm_right_rule_wrong
b000090179,power on now up to date & contact windows,power on software,power on software,0,1,0,CORRECT,llm_right_rule_wrong
b00009v7hf,pcanywhere 11.0 host only cd-rom xp 98 nt w2k me,symantec,symantec,0,1,0,CORRECT,llm_right_rule_wrong
b000exu9ay,print explosion deluxe 3.0 (mac),nova development,nova development,0,1,0,CORRECT,llm_right_rule_wrong
b0009yx9be,aquarium 3 in 1 collection - limited edition for win/mac,encore software,encore software,0,1,0,CORRECT,llm_right_rule_wrong
b000jgf410,money premium 2007 win32 eng na mini box us only cd,microsoft,microsoft,0,1,0,CORRECT,llm_right_rule_wrong
b000epcfz4,perfect attorney premium,cosmi corporation,cosmi corporation,0,1,0,CORRECT,llm_right_rule_wrong
b0000cg4gt,small business server 2003 20u cal addpak user,microsoft,microsoft,0,1,0,CORRECT,llm_right_rule_wrong
b0000vmimw,leave the lights on (mac),aspyr media,aspyr media,0,1,0,CORRECT,llm_right_rule_wrong
b000hhvbdq,monopoly tycoon,encore,encore,0,1,0,CORRECT,llm_right_rule_wrong
b000ep3gei,command and conquer generals deluxe dvd-rom (mac),aspyr media,aspyr media,0,1,0,CORRECT,llm_right_rule_wrong
b0008ews9o,instant immersion french 2.0,topics entertainment,topics entertainment,0,1,0,CORRECT,llm_right_rule_wrong
b000cp4ja0,network now! pro by encore,encore software,encore software,0,1,0,CORRECT,llm_right_rule_wrong
b000h6d2do,gsp crossword addict,global software publishing north america inc,global software publishing north america inc,0,1,0,CORRECT,llm_right_rule_wrong
b000bwzy7q,world of warcraft expansion: burning crusade,blizzard entertainment,blizzard entertainment,0,1,0,CORRECT,llm_right_rule_wrong
b000hbvvka,quickbooks point-of-sale pro with hardware bundle 6.0,intuit,intuit,0,1,0,CORRECT,llm_right_rule_wrong
b00029bosq,mighty math number heroes,edmark,edmark,0,1,0,CORRECT,llm_right_rule_wrong
b0001gu7g0,red hat entprse linux as 3 amd ( rhf0211us ),red hat software,red hat software,0,1,0,CORRECT,llm_right_rule_wrong
b0009yn1rq,hoyle board games,encore,encore,0,1,0,CORRECT,llm_right_rule_wrong
b000bt7frg,microsoft visual studio professional w/msdn professional 2005 renewal,microsoft software,microsoft software,0,1,0,CORRECT,llm_right_rule_wrong
b000hed3fi,the print shop 22 deluxe sb cs by the print shop,encore software,encore software,0,1,0,CORRECT,llm_right_rule_wrong
b000mgo1r0,gorilla 4 pro,jungle software,jungle software,0,1,0,CORRECT,llm_right_rule_wrong
b000bgpqr0,instant immersion german deluxe 2.0,topics entertainment,topics entertainment,0,1,0,CORRECT,llm_right_rule_wrong
b000j588ge,photo objects 150 000 for macintosh,nova development,nova development,0,1,0,CORRECT,llm_right_rule_wrong
b00094oszk,microspot x-rip (mac),microspot ltd,microspot ltd,0,1,0,CORRECT,llm_right_rule_wrong
b0000ycfdg,simple movie maker,topics entertainment,topics entertainment,0,1,0,CORRECT,llm_right_rule_wrong
b000krd3bq,photoshop elements 4 mac retail eng 1u (19230169),adobe,adobe,0,1,0,CORRECT,llm_right_rule_wrong
b0009jhv5e,cook'n low fat,dvo enterprises,dvo enterprises,0,1,0,CORRECT,llm_right_rule_wrong
b000088ner,webobjects 5.2,apple,apple,0,1,0,CORRECT,llm_right_rule_wrong
b000fzz730,english - literature basics (win/mac) (jewel case),fogware publishing,fogware publishing,0,1,0,CORRECT,llm_right_rule_wrong
b000c55alw,virusbarrier x4 10.4 for mac-10 users,intego,intego,0,1,0,CORRECT,llm_right_rule_wrong
b000nkpf7k,aircraft collector's second edition,abacus,abacus,0,1,0,CORRECT,llm_right_rule_wrong
b0002bqrq8,smart steps 4th grade,dorling kindersley multimedia (dk),dorling kindersley multimedia (dk),0,1,0,CORRECT,llm_right_rule_wrong
b00004t2un,sales skills 2.0 ages 10+,victory multimedia,victory multimedia,0,1,0,CORRECT,llm_right_rule_wrong
b00065hjvc,solitaire antics deluxe,masque publishing,masque publishing,0,1,0,CORRECT,llm_right_rule_wrong
b0000azvvs,notetaker 1.5,aquaminds,aquaminds,0,1,0,CORRECT,llm_right_rule_wrong
b000ra5bl6,jewels of cleopatra,encore software,encore software,0,1,0,CORRECT,llm_right_rule_wrong
b0002dlrru,instant immersion italian platinum,topics entertainment,topics entertainment,0,1,0,CORRECT,llm_right_rule_wrong
b00026s6da,talk now! learn dutch,eurotalk interactive,eurotalk interactive,0,1,0,CORRECT,llm_right_rule_wrong
b000e65hki,punch! home design architectural series 4000 v10,punch! software,punch! software,0,1,0,CORRECT,llm_right_rule_wrong
b000etjjae,call of duty 2 dvd-rom (mac),aspyr media,aspyr media,0,1,0,CORRECT,llm_right_rule_wrong
b000fhgu6q,media kit storage foundation basic lnx v4.1 cpu vol-4 file sys-4,veritas,veritas,0,1,0,CORRECT,llm_right_rule_wrong
b0001mbatc,black & white platinum pack (mac),feral interactive,feral interactive,0,1,0,CORRECT,llm_right_rule_wrong
b000qfrt4o,professional home design suite platinum,punch! software,punch! software,0,1,0,CORRECT,llm_right_rule_wrong
b000nkklwe,casual games pack,egames,egames,0,1,0,CORRECT,llm_right_rule_wrong
b0002c3vqq,on hand spanish 1-2-3 ( windows ),on hand software,on hand software,0,1,0,CORRECT,llm_right_rule_wrong
b000frs492,kakuro puzzle addict unlimited edition,global software publishing,global software publishing,0,1,0,CORRECT,llm_right_rule_wrong
b000e2d3lc,rome total war gold edition,sega of america inc.,sega of america inc.,0,1,0,CORRECT,llm_right_rule_wrong
b000hc0lw8,quickbooks pro 2007 for mac (mac),intuit,intuit,0,1,0,CORRECT,llm_right_rule_wrong
b00006oaqv,reader rabbit learn to read phonics pre kindergarten,the learning company,the learning company,0,1,0,CORRECT,llm_right_rule_wrong
b000bb6f5m,ultimate puzzle games,valusoft,valusoft,0,1,0,CORRECT,llm_right_rule_wrong
b000o3d9ce,high school advantage 2008,encore,encore,0,1,0,CORRECT,llm_right_rule_wrong
b0002ibeve,cyberchase adventures: carnival chaos and casablanca quest,brighter minds media inc.,brighter minds media inc.,0,1,0,CORRECT,llm_right_rule_wrong
b000lu9cwg,mozy 3.0,simply put software llc,simply put software llc,0,1,0,CORRECT,llm_right_rule_wrong
b000hkpb3e,zonealarm internet security suite,zone labs,zone labs,0,1,0,CORRECT,llm_right_rule_wrong
b000aaqzpe,namco museum 50th anniversary collection,namco video games,namco video games,0,1,0,CORRECT,llm_right_rule_wrong
b000he9psc,the print shop 22 pro publisher deluxe sb cs by the print shop,encore software,encore software,0,1,0,CORRECT,llm_right_rule_wrong
b000hcu7b8,guild wars nightfall,ncsoft,ncsoft,0,1,0,CORRECT,llm_right_rule_wrong
b000h27puo,montage (mac),mariner software,mariner software,0,1,0,CORRECT,llm_right_rule_wrong
b000bwa1jw,professor fujis sudoku deluxe by encore,encore software,encore software,0,1,0,CORRECT,llm_right_rule_wrong
b000fzxiou,geometry (win/mac) (jewel case),fogware publishing,fogware publishing,0,1,0,CORRECT,llm_right_rule_wrong
b0001gjc52,cross stitch design studio (jewel case),m and r technologies,m and r technologies,0,1,0,CORRECT,llm_right_rule_wrong
b000nknb44,alien disco safari,encore,encore,0,1,0,CORRECT,llm_right_rule_wrong
b00062vfec,f/a-18 operation iraqi freedom,graphics simulations corporation,graphics simulations corporation,0,1,0,CORRECT,llm_right_rule_wrong
b0009i5px0,norton antivirus mac 10.0 (mac),symantec,symantec,0,1,0,CORRECT,llm_right_rule_wrong
b000bwbu6u,mavis beacon typing 17 (win/mac),encore software,encore software,0,1,0,CORRECT,llm_right_rule_wrong
b000bckm7i,mavis beacon teaches typing deluxe v17,encore software,encore software,0,1,0,CORRECT,llm_right_rule_wrong
b00032q1hq,lotus dev. ibm db2 net search extender - ( v. 8.2 ) - media ( bb0kyna ),lotus development corp,lotus development corp,0,1,0,CORRECT,llm_right_rule_wrong
b000gcd6qc,giggles computer funtime for baby - shapes (win/mac),navarre (software),navarre (software),0,1,0,CORRECT,llm_right_rule_wrong
b000m06st0,upgrade robohelp server 6 win ue 1u,adobe,adobe,0,1,0,CORRECT,llm_right_rule_wrong
b000u1w4us,wavelab studio 6,steinberg media technologies,steinberg media technologies,0,1,0,CORRECT,llm_right_rule_wrong
b000bt8trg,microsoft visual studio professional 2005 upgrade,microsoft software,microsoft software,0,1,0,CORRECT,llm_right_rule_wrong
b000g7wses,peachtree by sage premium accounting for manufacturing 2007 multi user (up to 5 users),sage software,sage software,0,1,0,CORRECT,llm_right_rule_wrong
b000f4ei40,genuine fractals print pro 4.1 sharpener pro 2.0,onone software,onone software,0,1,0,CORRECT,llm_right_rule_wrong
b000jx1kgq,starship troopers/first to fight bundle,destineer,destineer,0,1,0,CORRECT,llm_right_rule_wrong
b000eplmpi,printmaster gold v 17.0,nova development,nova development,0,1,0,CORRECT,llm_right_rule_wrong
